A,C,articles,pos_articles,neg_articles,null_or_mix,net_score,pos_ratio,balance,balance_low,balance_high
adalimumab,progression,2,0,0,2,0,0,0,NA,NA
cyclophosphamide,AE-ILD,2,0,0,2,0,0,0,NA,NA
etanercept,progression,2,1,0,1,0.48,1,1,-0.5869134170522141,1
infliximab,mortality,2,0,0,2,0,0,0,NA,NA
male_sex,AE-ILD,2,1,0,1,0.8800000000000001,1,1,-0.5869134170522141,1
methotrexate,AE-ILD,2,1,1,0,1.928,0.5,0,-0.8109426903982677,0.8109426903982677
tocilizumab,AE-ILD,2,1,0,1,2.4240000000000004,1,1,-0.5869134170522141,1
tofacitinib,progression,2,0,1,1,-0.8320000000000001,0,-1,-1,0.5869134170522141
ACPA_RF_high,mortality,1,1,0,0,1.8656000000000001,1,1,-0.5869134170522141,1
ACPA_RF_high,progression,1,1,0,0,0.8480000000000001,1,1,-0.5869134170522141,1
CCL18,progression,1,0,0,1,0,0,0,NA,NA
CCL2,progression,1,0,0,1,0,0,0,NA,NA
CCL21,mortality,1,0,0,1,0,0,0,NA,NA
CXCL10,mortality,1,0,0,1,0,0,0,NA,NA
EORA,mortality,1,1,0,0,0.8480000000000001,1,1,-0.5869134170522141,1
Endothelin1,mortality,1,0,0,1,0,0,0,NA,NA
FAM13A,progression,1,1,0,0,2.14,1,1,-0.5869134170522141,1
HE4,mortality,1,1,0,0,0.8560000000000001,1,1,-0.5869134170522141,1
IL13,progression,1,0,0,1,0,0,0,NA,NA
IL8_CXCL8,mortality,1,0,0,1,0,0,0,NA,NA
Immune_checkpoint,progression,1,0,0,1,0,0,0,NA,NA
MMP7,AE-ILD,1,1,0,0,0.8480000000000001,1,1,-0.5869134170522141,1
MPO,AE-ILD,1,0,0,1,0,0,0,NA,NA
MPO,progression,1,0,0,1,0,0,0,NA,NA
MUC5B,AE-ILD,1,0,0,1,0,0,0,NA,NA
NLR,AE-ILD,1,1,0,0,0.8800000000000001,1,1,-0.5869134170522141,1
Oxidative_stress_pathway,AE-ILD,1,0,0,1,0,0,0,NA,NA
PARN,mortality,1,1,0,0,0.4896,1,1,-0.5869134170522141,1
Periostin,AE-ILD,1,0,0,1,0,0,0,NA,NA
Periostin,progression,1,0,0,1,0,0,0,NA,NA
RTEL1,mortality,1,1,0,0,0.4896,1,1,-0.5869134170522141,1
SFTPC,mortality,1,1,0,0,0.4896,1,1,-0.5869134170522141,1
SPP1_osteopontin,AE-ILD,1,0,0,1,0,0,0,NA,NA
SPP1_osteopontin,progression,1,0,0,1,0,0,0,NA,NA
TERT,mortality,1,1,0,0,0.4896,1,1,-0.5869134170522141,1
TERT,progression,1,1,0,0,2.14,1,1,-0.5869134170522141,1
WNT_beta_catenin,progression,1,0,0,1,0,0,0,NA,NA
baricitinib,mortality,1,0,1,0,-0.8640000000000001,0,-1,-1,0.5869134170522141
disease_duration,AE-ILD,1,0,0,1,0,0,0,NA,NA
drug_induced_ILD,AE-ILD,1,0,0,1,0,0,0,NA,NA
etanercept,mortality,1,1,0,0,0.48,1,1,-0.5869134170522141,1
hypoalbuminemia,AE-ILD,1,0,0,1,0,0,0,NA,NA
hypoalbuminemia,progression,1,1,0,0,1.2960000000000003,1,1,-0.5869134170522141,1
low_BMI,mortality,1,0,0,1,0,0,0,NA,NA
silica,progression,1,0,0,1,0,0,0,NA,NA
tacrolimus,mortality,1,0,0,1,0,0,0,NA,NA
tofacitinib,mortality,1,1,0,0,0.528,1,1,-0.5869134170522141,1
